network,bot_name
104.210.140.128/28,OpenAI SearchBot
135.234.64.0/24,OpenAI SearchBot
172.182.193.224/28,OpenAI SearchBot
172.182.193.80/28,OpenAI SearchBot
172.182.194.144/28,OpenAI SearchBot
172.182.194.32/28,OpenAI SearchBot
172.182.195.48/28,OpenAI SearchBot
172.182.209.208/28,OpenAI SearchBot
172.182.211.192/28,OpenAI SearchBot
172.182.213.192/28,OpenAI SearchBot
172.182.224.0/28,OpenAI SearchBot
172.203.190.128/28,OpenAI SearchBot
20.14.99.96/28,OpenAI SearchBot
20.168.18.32/28,OpenAI SearchBot
20.169.6.224/28,OpenAI SearchBot
20.169.7.48/28,OpenAI SearchBot
20.169.77.0/25,OpenAI SearchBot
20.171.123.64/28,OpenAI SearchBot
20.171.53.224/28,OpenAI SearchBot
20.25.151.224/28,OpenAI SearchBot
20.42.10.176/28,OpenAI SearchBot
4.227.36.0/25,OpenAI SearchBot
40.67.175.0/25,OpenAI SearchBot
51.8.102.0/24,OpenAI SearchBot
74.7.175.128/25,OpenAI SearchBot
74.7.228.0/25,OpenAI SearchBot
74.7.228.128/25,OpenAI SearchBot
74.7.229.0/25,OpenAI SearchBot
74.7.229.128/25,OpenAI SearchBot
74.7.230.0/25,OpenAI SearchBot
74.7.241.128/25,OpenAI SearchBot
74.7.242.128/25,OpenAI SearchBot
74.7.243.0/25,OpenAI SearchBot
74.7.244.0/25,OpenAI SearchBot
132.196.86.0/24,OpenAI GPTBot
172.182.202.0/25,OpenAI GPTBot
172.182.204.0/24,OpenAI GPTBot
172.182.207.0/25,OpenAI GPTBot
172.182.214.0/24,OpenAI GPTBot
172.182.215.0/24,OpenAI GPTBot
20.125.66.80/28,OpenAI GPTBot
20.171.206.0/24,OpenAI GPTBot
20.171.207.0/24,OpenAI GPTBot
4.227.36.0/25,OpenAI GPTBot
52.230.152.0/24,OpenAI GPTBot
74.7.175.128/25,OpenAI GPTBot
74.7.227.0/25,OpenAI GPTBot
74.7.227.128/25,OpenAI GPTBot
74.7.228.0/25,OpenAI GPTBot
74.7.230.0/25,OpenAI GPTBot
74.7.241.0/25,OpenAI GPTBot
74.7.241.128/25,OpenAI GPTBot
74.7.242.0/25,OpenAI GPTBot
74.7.243.128/25,OpenAI GPTBot
74.7.244.0/25,OpenAI GPTBot
107.20.236.150/32,PerplexityBot
3.224.62.45/32,PerplexityBot
18.210.92.235/32,PerplexityBot
3.222.232.239/32,PerplexityBot
3.211.124.183/32,PerplexityBot
3.231.139.107/32,PerplexityBot
18.97.1.228/30,PerplexityBot
18.97.9.96/29,PerplexityBot
44.208.221.197/32,Perplexity-User
34.193.163.52/32,Perplexity-User
18.97.21.0/30,Perplexity-User
18.97.43.80/29,Perplexity-User
104.210.139.192/28,OpenAI ChatGPT-User
104.210.139.224/28,OpenAI ChatGPT-User
13.65.138.112/28,OpenAI ChatGPT-User
13.65.138.96/28,OpenAI ChatGPT-User
13.67.46.240/28,OpenAI ChatGPT-User
13.67.72.16/28,OpenAI ChatGPT-User
13.70.107.160/28,OpenAI ChatGPT-User
13.71.2.208/28,OpenAI ChatGPT-User
13.76.115.224/28,OpenAI ChatGPT-User
13.76.115.240/28,OpenAI ChatGPT-User
13.76.116.80/28,OpenAI ChatGPT-User
13.76.223.48/28,OpenAI ChatGPT-User
13.76.32.208/28,OpenAI ChatGPT-User
13.79.43.0/28,OpenAI ChatGPT-User
13.83.167.128/28,OpenAI ChatGPT-User
13.83.237.176/28,OpenAI ChatGPT-User
132.196.82.48/28,OpenAI ChatGPT-User
135.119.134.128/28,OpenAI ChatGPT-User
135.119.134.192/28,OpenAI ChatGPT-User
135.237.131.208/28,OpenAI ChatGPT-User
135.237.133.112/28,OpenAI ChatGPT-User
135.237.133.48/28,OpenAI ChatGPT-User
137.135.183.96/28,OpenAI ChatGPT-User
137.135.190.240/28,OpenAI ChatGPT-User
137.135.191.176/28,OpenAI ChatGPT-User
137.135.191.32/28,OpenAI ChatGPT-User
138.91.30.48/28,OpenAI ChatGPT-User
138.91.46.96/28,OpenAI ChatGPT-User
168.63.252.240/28,OpenAI ChatGPT-User
172.178.140.144/28,OpenAI ChatGPT-User
172.178.141.112/28,OpenAI ChatGPT-User
172.178.141.128/28,OpenAI ChatGPT-User
172.183.143.224/28,OpenAI ChatGPT-User
172.183.222.128/28,OpenAI ChatGPT-User
172.204.16.64/28,OpenAI ChatGPT-User
172.212.159.64/28,OpenAI ChatGPT-User
172.213.11.144/28,OpenAI ChatGPT-User
172.213.12.112/28,OpenAI ChatGPT-User
172.213.21.112/28,OpenAI ChatGPT-User
172.213.21.144/28,OpenAI ChatGPT-User
172.213.21.16/28,OpenAI ChatGPT-User
191.233.194.32/28,OpenAI ChatGPT-User
191.233.196.112/28,OpenAI ChatGPT-User
191.234.167.128/28,OpenAI ChatGPT-User
191.235.66.16/28,OpenAI ChatGPT-User
191.235.98.144/28,OpenAI ChatGPT-User
191.235.99.80/28,OpenAI ChatGPT-User
191.239.245.16/28,OpenAI ChatGPT-User
20.0.53.96/28,OpenAI ChatGPT-User
20.102.212.144/28,OpenAI ChatGPT-User
20.117.22.224/28,OpenAI ChatGPT-User
20.161.75.208/28,OpenAI ChatGPT-User
20.193.50.32/28,OpenAI ChatGPT-User
20.194.0.208/28,OpenAI ChatGPT-User
20.194.1.0/28,OpenAI ChatGPT-User
20.194.157.176/28,OpenAI ChatGPT-User
20.198.67.96/28,OpenAI ChatGPT-User
20.204.24.240/28,OpenAI ChatGPT-User
20.210.154.128/28,OpenAI ChatGPT-User
20.210.174.208/28,OpenAI ChatGPT-User
20.215.188.192/28,OpenAI ChatGPT-User
20.215.214.16/28,OpenAI ChatGPT-User
20.228.106.176/28,OpenAI ChatGPT-User
20.235.75.208/28,OpenAI ChatGPT-User
20.235.87.224/28,OpenAI ChatGPT-User
20.249.63.208/28,OpenAI ChatGPT-User
20.27.94.128/28,OpenAI ChatGPT-User
20.45.178.144/28,OpenAI ChatGPT-User
20.55.229.144/28,OpenAI ChatGPT-User
20.63.221.64/28,OpenAI ChatGPT-User
20.90.7.144/28,OpenAI ChatGPT-User
20.97.189.96/28,OpenAI ChatGPT-User
23.102.140.144/28,OpenAI ChatGPT-User
23.102.141.32/28,OpenAI ChatGPT-User
23.97.109.224/28,OpenAI ChatGPT-User
23.98.142.176/28,OpenAI ChatGPT-User
23.98.179.16/28,OpenAI ChatGPT-User
23.98.186.176/28,OpenAI ChatGPT-User
23.98.186.192/28,OpenAI ChatGPT-User
23.98.186.64/28,OpenAI ChatGPT-User
23.98.186.96/28,OpenAI ChatGPT-User
4.151.119.48/28,OpenAI ChatGPT-User
4.151.241.240/28,OpenAI ChatGPT-User
4.151.71.176/28,OpenAI ChatGPT-User
4.196.118.112/28,OpenAI ChatGPT-User
4.196.198.80/28,OpenAI ChatGPT-User
4.197.115.112/28,OpenAI ChatGPT-User
4.197.19.176/28,OpenAI ChatGPT-User
4.197.22.112/28,OpenAI ChatGPT-User
4.197.64.0/28,OpenAI ChatGPT-User
4.197.64.16/28,OpenAI ChatGPT-User
4.197.64.48/28,OpenAI ChatGPT-User
4.197.64.64/28,OpenAI ChatGPT-User
4.205.128.176/28,OpenAI ChatGPT-User
40.116.73.208/28,OpenAI ChatGPT-User
40.75.14.224/28,OpenAI ChatGPT-User
40.84.181.32/28,OpenAI ChatGPT-User
40.84.221.208/28,OpenAI ChatGPT-User
40.84.221.224/28,OpenAI ChatGPT-User
51.8.155.112/28,OpenAI ChatGPT-User
51.8.155.48/28,OpenAI ChatGPT-User
51.8.155.64/28,OpenAI ChatGPT-User
51.8.155.80/28,OpenAI ChatGPT-User
52.148.129.32/28,OpenAI ChatGPT-User
52.154.22.48/28,OpenAI ChatGPT-User
52.156.77.144/28,OpenAI ChatGPT-User
52.159.227.32/28,OpenAI ChatGPT-User
52.159.249.96/28,OpenAI ChatGPT-User
52.173.123.0/28,OpenAI ChatGPT-User
52.173.219.112/28,OpenAI ChatGPT-User
52.173.219.96/28,OpenAI ChatGPT-User
52.173.234.16/28,OpenAI ChatGPT-User
52.173.234.80/28,OpenAI ChatGPT-User
52.173.235.80/28,OpenAI ChatGPT-User
52.176.139.176/28,OpenAI ChatGPT-User
52.187.246.128/28,OpenAI ChatGPT-User
52.190.137.144/28,OpenAI ChatGPT-User
52.190.137.16/28,OpenAI ChatGPT-User
52.190.139.48/28,OpenAI ChatGPT-User
52.190.142.64/28,OpenAI ChatGPT-User
52.190.190.16/28,OpenAI ChatGPT-User
52.225.75.208/28,OpenAI ChatGPT-User
52.230.163.32/28,OpenAI ChatGPT-User
52.230.164.176/28,OpenAI ChatGPT-User
52.231.30.48/28,OpenAI ChatGPT-User
52.231.34.176/28,OpenAI ChatGPT-User
52.231.39.144/28,OpenAI ChatGPT-User
52.231.39.192/28,OpenAI ChatGPT-User
52.231.49.48/28,OpenAI ChatGPT-User
52.231.50.64/28,OpenAI ChatGPT-User
52.236.94.144/28,OpenAI ChatGPT-User
52.242.132.224/28,OpenAI ChatGPT-User
52.242.132.240/28,OpenAI ChatGPT-User
52.242.245.208/28,OpenAI ChatGPT-User
52.252.113.240/28,OpenAI ChatGPT-User
52.255.109.112/28,OpenAI ChatGPT-User
52.255.109.128/28,OpenAI ChatGPT-User
52.255.109.144/28,OpenAI ChatGPT-User
52.255.109.80/28,OpenAI ChatGPT-User
52.255.109.96/28,OpenAI ChatGPT-User
52.255.111.0/28,OpenAI ChatGPT-User
52.255.111.112/28,OpenAI ChatGPT-User
52.255.111.16/28,OpenAI ChatGPT-User
52.255.111.32/28,OpenAI ChatGPT-User
52.255.111.48/28,OpenAI ChatGPT-User
52.255.111.80/28,OpenAI ChatGPT-User
57.154.174.112/28,OpenAI ChatGPT-User
57.154.175.0/28,OpenAI ChatGPT-User
57.154.187.32/28,OpenAI ChatGPT-User
68.154.28.96/28,OpenAI ChatGPT-User
68.218.30.112/28,OpenAI ChatGPT-User
68.220.57.64/28,OpenAI ChatGPT-User
68.221.67.160/28,OpenAI ChatGPT-User
68.221.67.192/28,OpenAI ChatGPT-User
68.221.67.224/28,OpenAI ChatGPT-User
68.221.67.240/28,OpenAI ChatGPT-User
68.221.75.16/28,OpenAI ChatGPT-User
74.249.86.176/28,OpenAI ChatGPT-User
74.7.35.112/28,OpenAI ChatGPT-User
74.7.35.48/28,OpenAI ChatGPT-User
74.7.36.64/28,OpenAI ChatGPT-User
74.7.36.80/28,OpenAI ChatGPT-User
74.7.36.96/28,OpenAI ChatGPT-User
